932 2876
392 373 594
617 189 128
567 411 393
664 892 561
632 220 122
421 619 930
142 872 418
792 538 105
111 448 382
107 419 904
493 401 82
236 172 43
757 135 1000
590 154 473
361 562 300
251 358 349
531 244 200
347 99 177
873 779 117
753 713 104
377 214 312
794 713 269
60 61 490
779 357 394
66 355 68
773 486 11
919 569 125
657 872 782
882 525 920
527 558 688
462 281 871
309 536 472
558 440 795
682 601 388
863 395 835
884 398 28
760 414 958
409 808 112
341 30 873
214 112 518
10 254 81
829 830 424
664 581 544
299 494 580
196 743 822
896 202 136
834 558 601
776 807 907
794 758 310
105 634 61
555 871 300
820 523 102
309 521 242
414 754 909
398 813 992
693 278 506
183 910 154
573 838 423
132 430 242
46 131 194
609 112 701
305 826 766
761 782 584
377 111 958
888 254 559
647 28 490
119 575 529
80 842 624
349 417 629
543 456 578
471 78 110
115 275 139
441 427 540
782 631 242
809 495 358
620 268 644
495 48 836
518 468 554
819 496 52
506 834 928
836 399 395
626 189 235
585 757 626
825 887 806
278 773 482
151 700 399
71 553 165
41 40 493
347 752 196
251 649 12
460 522 129
883 303 213
883 232 405
402 370 416
571 436 830
836 669 536
651 580 45
672 876 635
628 521 926
24 122 631
419 843 985
581 145 238
665 331 677
490 280 541
799 813 422
677 713 246
257 136 580
175 879 996
640 716 904
270 244 439
721 505 319
534 412 697
475 846 184
732 682 609
154 617 444
468 33 708
774 493 341
769 366 476
382 609 500
259 64 13
442 318 53
697 439 522
836 284 683
446 925 440
306 84 196
270 863 89
655 61 165
581 867 836
230 357 27
669 551 443
706 782 144
525 252 754
767 96 845
860 72 547
737 474 263
645 278 915
15 732 729
448 652 27
709 7 305
479 40 432
645 851 608
795 657 589
367 376 615
772 96 609
149 496 641
547 754 652
552 353 129
211 844 671
310 86 273
837 704 974
297 594 619
26 783 728
484 766 394
246 718 718
491 171 245
772 196 692
777 474 634
888 520 735
236 360 164
259 588 726
817 55 746
619 123 92
865 261 58
166 409 224
165 145 461
801 493 370
653 899 919
318 299 969
841 890 781
529 406 560
372 648 152
729 478 516
14 800 406
25 490 687
544 279 413
720 219 664
161 151 915
339 677 924
376 711 11
169 341 1
522 638 898
865 6 236
46 122 245
352 572 777
225 305 649
576 291 884
739 286 866
437 913 426
791 597 193
362 343 296
376 165 384
688 674 857
451 709 554
114 435 323
259 780 332
458 373 736
826 367 253
740 550 925
65 457 123
171 296 120
509 822 608
264 889 620
886 708 387
378 258 415
928 274 374
107 295 896
360 922 784
915 893 940
277 448 746
169 578 554
633 686 452
829 17 280
696 607 706
37 374 758
347 39 533
645 604 865
4 741 567
604 293 697
200 311 14
855 845 786
864 186 746
581 401 550
742 688 873
627 212 223
912 287 708
118 760 296
501 157 456
187 85 627
655 476 903
387 847 518
84 372 285
787 823 277
525 201 831
210 574 606
527 301 200
539 862 720
556 499 858
805 357 374
473 726 358
621 200 309
214 423 673
302 774 24
576 906 787
639 327 130
845 630 789
415 165 68
113 695 809
35 868 650
605 143 209
64 150 21
758 183 296
167 343 836
457 477 840
169 292 863
424 804 861
44 414 221
588 749 241
667 226 87
120 919 861
261 913 444
261 425 204
866 572 78
243 629 37
371 521 316
278 188 764
62 190 875
709 109 764
728 609 572
501 673 644
740 765 816
383 685 792
287 273 837
355 864 68
124 488 580
625 210 381
86 819 155
549 331 691
396 850 358
621 180 750
756 512 664
534 843 639
420 248 494
883 711 729
387 254 669
223 132 520
38 843 580
363 270 667
52 904 370
550 403 623
817 248 445
792 860 579
149 201 95
218 314 210
879 568 883
927 570 882
431 165 822
580 192 761
554 417 782
903 348 194
659 112 775
780 108 634
274 620 413
184 311 469
542 787 305
474 709 810
572 599 439
650 559 540
819 751 813
443 249 208
761 494 514
384 588 904
178 581 393
200 833 602
40 928 238
257 864 690
328 681 683
316 356 897
652 343 576
32 579 685
534 372 862
178 304 539
298 766 291
485 157 274
764 60 303
818 747 419
442 287 868
70 216 906
566 493 542
397 606 847
44 191 452
605 780 320
864 239 595
626 587 120
648 870 170
90 534 761
876 193 529
866 459 735
378 276 931
527 189 318
206 815 781
124 385 490
599 513 246
607 234 213
76 141 560
822 766 212
614 644 872
132 922 492
875 516 454
617 205 326
141 221 375
397 411 763
775 850 476
431 804 128
614 852 58
526 799 882
636 234 497
626 509 192
508 534 206
14 274 829
174 448 781
251 683 16
295 181 527
747 516 792
80 518 783
105 658 809
361 147 254
450 522 919
464 103 284
202 690 484
165 80 252
310 555 49
70 335 427
824 724 218
819 138 623
684 15 948
906 369 850
390 742 225
94 151 355
777 679 621
392 365 488
709 733 37
127 454 49
62 362 653
282 729 339
222 44 56
312 203 88
453 673 91
741 176 323
18 367 538
171 246 440
828 58 833
520 614 459
44 30 141
612 574 458
164 858 92
282 776 485
163 110 570
597 291 163
213 897 665
861 583 237
734 910 186
120 752 663
554 473 567
519 193 75
613 842 432
456 883 833
96 364 331
711 249 28
618 790 402
269 225 121
73 352 315
829 511 592
203 193 210
705 231 737
307 702 998
346 875 479
362 630 340
559 201 332
688 83 852
574 656 109
144 506 933
47 560 739
169 383 384
599 82 391
401 591 688
394 330 452
528 893 580
8 530 22
23 225 247
674 591 83
234 424 786
549 281 550
806 22 530
778 762 300
328 10 826
74 631 785
210 79 687
64 283 895
696 705 818
459 732 275
79 705 397
542 873 159
744 485 466
391 188 920
84 357 660
195 896 146
669 297 866
919 42 147
228 295 337
589 850 406
857 769 236
853 711 772
256 911 52
139 280 393
340 307 641
632 193 869
617 146 810
157 310 480
348 694 223
502 847 47
111 926 784
149 770 372
233 613 562
359 370 240
883 198 855
292 762 466
931 578 95
882 506 682
141 201 789
677 327 481
167 611 856
892 419 989
499 715 426
45 226 40
409 832 635
26 415 488
776 514 975
786 454 482
380 805 139
255 320 846
672 857 239
902 99 565
852 464 250
491 883 297
263 696 78
636 833 461
612 137 404
707 112 175
417 303 613
927 644 599
364 476 572
172 312 509
776 509 250
176 448 780
585 91 142
176 166 366
785 614 979
177 53 916
625 817 206
459 145 729
512 587 371
528 399 347
278 674 931
329 512 905
559 115 930
868 750 773
730 385 575
260 130 223
684 609 861
231 678 341
604 381 694
714 928 261
280 464 219
600 833 875
819 367 943
931 521 526
213 312 270
599 221 174
771 821 231
595 735 565
165 428 68
772 763 486
78 400 497
463 733 548
346 425 292
883 219 632
373 73 85
169 341 643
419 8 997
361 272 150
363 821 277
698 685 159
383 478 60
225 898 805
930 502 716
198 223 548
470 150 30
572 756 452
13 707 442
619 548 676
104 253 145
130 61 390
27 375 196
108 378 853
731 755 158
458 825 415
381 598 451
104 787 294
820 578 823
97 730 725
570 729 639
858 905 872
548 609 991
649 766 406
854 672 229
793 780 330
112 752 654
298 188 716
28 921 295
185 799 175
20 886 979
811 761 742
514 855 648
484 65 531
540 372 841
24 666 49
194 870 938
427 735 183
413 828 865
636 760 57
893 115 315
394 244 342
692 839 760
742 482 710
817 311 372
802 915 177
603 690 557
51 560 757
642 413 430
111 184 289
505 46 85
728 746 546
684 214 813
290 108 909
463 218 37
858 324 133
111 259 363
295 363 308
376 184 117
294 706 457
736 865 736
865 822 458
600 150 824
618 323 913
354 634 769
538 48 63
232 756 693
603 928 944
509 838 917
360 891 307
321 814 99
399 263 141
573 750 227
311 72 213
282 104 425
866 748 756
545 189 295
574 355 345
459 651 967
206 361 550
464 589 533
691 254 252
167 408 414
915 218 989
448 823 778
752 487 751
626 500 984
392 306 643
37 483 83
592 658 190
768 317 424
529 894 846
379 583 981
647 369 831
297 276 507
555 457 708
722 92 760
64 774 604
764 165 694
395 603 265
285 356 391
542 443 12
258 426 216
507 862 356
642 612 832
928 222 930
50 754 467
547 90 638
549 76 963
655 528 643
284 32 862
517 678 165
561 363 734
172 96 755
550 860 805
270 713 413
365 347 557
670 889 854
629 158 492
138 337 973
22 768 206
629 460 166
399 777 355
517 880 208
28 198 370
748 269 784
498 55 319
567 586 1000
664 258 580
371 751 501
528 57 371
682 336 174
604 72 979
863 833 702
214 836 237
677 248 89
475 96 688
180 174 538
18 560 715
858 253 17
176 739 733
839 561 231
246 721 384
489 836 862
407 830 109
359 465 720
251 354 906
617 242 407
284 716 835
108 218 228
545 453 482
511 666 392
768 13 217
550 864 448
230 919 924
613 890 299
81 850 651
390 365 903
923 515 193
769 425 204
148 467 952
140 444 154
303 59 577
664 867 548
735 318 983
789 914 960
830 859 898
338 207 307
596 711 312
51 122 993
554 439 278
557 929 902
126 448 984
198 241 490
187 408 455
200 885 520
596 54 45
37 586 373
284 51 189
396 552 711
312 563 997
232 482 335
561 384 118
727 199 74
54 259 358
669 439 520
67 134 384
481 108 500
57 473 816
529 95 181
212 766 586
576 99 651
227 421 683
65 863 270
203 523 58
348 428 824
686 567 829
489 641 697
748 595 661
571 676 126
909 777 930
534 225 484
501 706 24
54 392 299
912 624 360
595 165 950
900 686 520
832 682 425
172 301 587
567 183 176
170 579 948
275 843 222
766 599 609
169 620 205
796 570 653
653 478 614
482 241 931
305 600 214
435 321 564
167 67 419
475 278 132
458 349 162
574 153 21
113 480 620
87 121 734
566 34 914
704 519 860
542 538 528
820 917 501
752 235 253
9 677 225
306 880 514
394 371 628
908 163 932
797 367 726
505 633 750
35 640 181
503 396 421
51 155 394
331 725 324
902 268 264
530 182 812
91 351 127
535 222 478
590 268 884
17 459 729
830 248 141
807 354 553
221 21 982
835 77 861
289 865 472
409 571 242
227 700 741
138 368 453
295 792 472
198 653 997
62 825 555
539 795 745
930 904 970
49 379 802
430 108 665
368 482 82
246 415 461
660 569 973
82 104 426
558 77 636
228 590 568
469 360 761
123 217 339
389 41 178
336 251 511
720 56 578
539 401 501
703 514 655
648 479 606
859 822 281
151 254 94
920 557 239
399 675 558
559 247 174
797 388 150
431 620 401
556 65 332
72 634 302
426 47 700
598 214 65
193 793 270
33 294 670
615 240 140
482 111 236
741 242 828
741 4 925
238 202 126
352 527 819
568 736 659
634 429 967
83 250 33
77 311 85
188 685 809
603 847 425
547 645 613
601 781 171
740 609 249
829 605 641
488 357 478
95 25 455
646 519 639
647 894 312
63 876 16
548 347 58
125 730 955
716 193 558
749 911 367
376 392 816
507 27 895
890 305 627
598 790 465
505 393 358
687 816 287
56 768 408
532 749 836
490 594 210
761 816 58
139 44 2
147 139 388
106 322 228
721 588 938
355 917 226
401 410 893
175 357 619
574 661 132
859 788 162
808 649 59
87 532 77
795 567 106
35 590 877
585 620 668
774 666 294
851 326 406
851 126 420
358 835 272
648 793 492
876 705 679
225 481 155
620 407 157
447 675 137
115 564 200
618 270 239
650 312 211
658 445 257
739 690 30
480 408 198
84 686 104
262 815 140
353 293 176
247 45 322
847 225 349
131 818 692
440 15 363
105 436 149
486 163 734
175 793 194
883 863 45
858 835 698
743 432 505
518 53 962
568 5 199
392 438 301
642 617 665
537 624 503
599 362 902
822 571 839
556 298 443
112 915 582
670 918 866
866 280 186
419 67 183
802 525 886
237 340 122
18 22 626
53 581 685
191 658 613
311 714 508
699 94 158
477 21 114
115 199 581
696 61 139
306 315 184
659 584 496
687 884 483
671 589 387
519 468 35
451 435 326
26 806 933
891 203 649
443 251 590
79 475 38
395 574 465
734 4 105
485 123 632
742 223 302
530 92 359
703 266 408
248 229 665
309 434 118
417 569 406
450 89 72
923 337 646
136 284 611
74 698 756
358 55 968
637 209 763
427 573 240
659 166 350
564 22 268
793 302 768
530 877 17
714 119 986
47 178 583
810 65 630
497 471 217
842 713 887
644 127 989
319 159 231
797 463 259
575 367 607
606 288 197
760 798 128
86 203 226
795 607 396
611 638 473
221 430 126
805 887 724
895 883 488
57 607 213
706 315 433
13 814 364
828 272 176
30 169 355
683 242 333
57 561 938
218 56 925
59 630 273
833 128 665
142 508 535
122 917 879
405 92 647
206 494 73
564 74 980
347 846 970
870 831 839
181 314 594
417 184 607
791 252 875
319 867 802
137 170 449
91 439 873
166 708 978
132 102 72
343 471 103
629 12 127
34 300 688
202 308 919
448 772 176
597 660 251
897 270 68
864 451 4
718 172 40
804 709 954
392 189 525
12 22 166
143 335 207
4 390 172
137 31 457
371 439 108
334 684 823
873 382 97
290 800 681
344 767 197
747 708 843
289 55 263
176 679 17
469 729 288
177 83 343
762 702 752
174 432 911
179 260 807
156 695 427
265 284 102
222 273 345
25 921 783
864 227 167
652 650 732
47 839 466
311 181 458
424 455 706
307 580 794
828 524 206
353 237 653
767 309 201
165 514 15
434 398 892
904 54 107
713 562 33
21 868 703
831 328 258
883 188 528
107 607 66
393 609 427
357 265 240
702 110 928
666 664 658
168 799 349
154 461 512
623 837 583
864 688 163
427 244 412
405 754 307
702 557 971
735 747 606
615 457 799
499 94 577
120 788 855
488 328 818
464 191 527
637 219 764
424 835 302
37 414 145
716 543 890
242 306 664
845 418 361
409 890 859
671 602 262
275 91 559
765 550 733
932 666 205
542 197 947
865 507 750
203 556 649
173 4 893
817 664 951
146 575 940
186 852 544
494 564 399
282 864 531
687 429 554
188 911 729
586 758 118
310 301 902
614 748 170
896 17 406
89 675 422
507 802 951
302 644 807
733 314 493
465 568 242
302 91 262
598 801 590
413 909 653
484 762 631
160 163 444
146 617 925
59 405 841
392 67 315
833 804 376
777 334 587
755 610 730
65 929 938
575 779 292
742 363 28
93 262 498
910 463 317
482 85 961
409 911 601
861 556 971
686 409 666
926 203 807
135 386 80
540 628 747
746 424 366
687 247 652
566 483 131
843 177 119
584 853 451
523 434 309
249 495 563
262 846 204
17 532 270
484 171 315
579 426 688
185 879 980
680 699 126
204 96 907
602 806 648
469 679 769
637 134 189
621 33 492
564 901 287
403 554 42
414 534 52
281 836 904
473 390 824
42 812 896
78 548 623
180 574 854
513 893 531
205 705 936
642 669 67
539 757 659
556 365 79
455 335 7
152 205 936
149 652 931
521 405 647
192 363 764
428 126 973
164 459 243
671 332 348
60 699 54
801 132 465
141 485 138
307 89 342
634 473 589
618 140 9
132 852 178
339 462 396
263 831 209
48 539 293
642 905 248
586 752 784
14 228 283
397 790 160
591 527 196
699 496 252
262 923 521
40 446 954
146 701 588
145 49 69
861 628 166
904 240 158
709 569 208
812 296 977
824 25 2
752 861 540
290 564 648
471 644 958
546 918 229
370 116 715
588 722 84
416 632 581
855 845 48
226 777 786
363 271 414
209 604 31
530 672 748
98 166 278
805 795 579
850 859 224
508 5 936
771 191 168
239 374 408
248 158 933
146 794 958
842 507 722
115 588 463
200 276 889
360 612 443
162 411 911
467 500 195
929 441 628
436 769 242
892 196 428
127 258 340
900 312 623
401 105 114
693 877 118
38 548 587
464 449 128
490 603 151
267 136 583
852 674 576
676 671 190
86 637 861
119 483 769
539 159 106
688 470 447
529 915 775
681 563 561
770 597 614
581 350 34
501 543 952
919 924 886
545 615 896
682 282 801
4 690 853
862 616 413
517 475 851
208 463 563
66 856 41
442 591 967
147 634 17
196 277 578
762 521 727
186 408 3
603 813 320
580 605 973
171 751 765
720 358 918
430 35 397
903 233 431
771 460 751
675 861 900
11 760 902
50 806 778
305 144 577
235 736 557
905 775 127
899 927 191
356 775 837
609 686 581
732 613 437
695 378 573
34 26 333
744 458 926
919 334 188
332 479 600
532 664 845
427 926 907
754 712 514
824 119 409
666 501 207
226 434 188
735 256 97
553 882 369
599 201 907
445 423 686
175 606 891
829 881 837
447 204 351
558 101 709
681 679 34
230 457 218
786 227 803
532 263 464
430 494 331
1 449 254
637 360 899
25 356 21
202 781 99
171 220 369
542 533 752
215 19 825
757 98 758
925 498 331
648 216 589
504 648 774
60 894 457
498 181 933
858 431 227
811 52 91
732 448 273
595 418 185
561 410 914
623 473 789
306 776 400
388 457 416
485 91 440
371 394 928
284 364 624
216 22 684
467 8 150
405 39 618
43 780 727
896 492 537
367 571 556
31 407 414
598 18 243
232 234 784
801 594 157
307 414 284
895 110 675
227 5 35
778 680 858
564 630 4
546 156 939
246 92 739
286 178 754
494 573 679
524 624 665
497 633 227
21 734 280
822 843 508
348 866 894
111 176 745
685 384 234
774 61 708
30 181 239
400 18 645
526 415 518
116 85 536
847 600 497
722 610 885
101 98 341
60 490 315
114 59 958
508 655 25
727 83 445
226 147 128
893 340 91
72 335 725
623 781 357
208 504 815
34 888 178
173 815 122
795 281 579
786 737 484
304 876 115
287 263 31
465 628 395
692 823 475
823 203 440
135 213 236
151 287 388
888 662 150
692 364 138
200 286 511
3 852 646
516 890 178
131 760 237
258 159 681
648 506 61
456 407 766
184 159 899
214 369 631
150 505 11
457 156 137
574 71 408
663 588 3
145 862 745
429 696 499
86 386 48
213 354 642
382 852 618
466 382 729
255 473 415
351 407 42
584 127 908
424 916 730
155 606 241
358 685 712
327 528 246
153 758 79
378 582 268
734 106 62
423 356 925
763 14 992
62 654 953
792 443 803
221 320 350
285 114 635
142 484 432
510 149 778
220 11 869
765 845 731
751 207 257
62 632 342
24 112 186
695 763 807
730 848 656
808 498 552
595 821 139
85 658 916
287 653 526
23 522 170
581 408 461
506 807 945
794 313 307
91 244 597
483 12 847
377 754 506
931 904 823
274 293 711
178 598 108
887 492 313
897 768 308
306 190 974
682 931 534
705 639 200
902 535 862
727 243 180
128 571 174
644 622 472
796 767 202
419 72 293
474 108 733
373 338 406
57 307 534
414 178 216
750 522 537
577 84 658
887 476 56
725 773 972
416 910 961
681 612 589
397 42 230
4 44 757
153 452 977
251 302 712
100 546 803
153 337 617
610 782 331
294 900 141
111 667 227
419 478 642
663 887 561
181 794 970
255 398 780
619 248 717
302 39 415
154 749 938
494 85 938
888 653 959
415 608 402
80 645 961
832 399 374
722 212 270
775 187 731
244 677 133
120 548 47
427 538 262
917 846 749
338 3 765
106 610 907
417 112 238
503 264 614
361 157 701
594 382 202
133 690 71
478 337 664
771 233 713
175 551 734
678 719 400
685 197 57
234 430 800
677 573 455
379 165 615
314 669 873
215 728 844
406 58 914
512 56 361
4 284 832
225 534 136
764 648 313
414 323 582
819 599 540
689 154 640
38 9 941
730 728 161
323 252 582
406 116 156
18 565 791
136 257 836
398 551 154
522 207 572
653 141 434
151 99 805
470 11 918
535 849 576
505 523 149
382 158 508
77 477 405
482 362 353
477 621 486
346 449 517
735 709 57
343 445 555
122 390 717
115 436 99
872 751 443
388 344 280
177 462 329
221 159 836
453 126 349
773 79 470
593 548 303
457 665 45
757 171 473
40 642 433
366 816 493
630 441 760
503 12 577
434 283 176
702 527 738
98 598 386
492 12 556
884 223 747
718 879 142
247 179 778
912 456 161
517 240 986
183 887 691
107 695 66
927 677 841
135 849 777
649 236 135
788 327 754
158 113 151
216 460 200
594 569 892
868 922 732
98 152 541
530 759 606
127 270 343
89 789 494
681 475 656
90 528 155
30 62 366
544 296 149
244 558 742
784 153 870
487 84 253
562 596 581
198 881 642
505 506 659
368 322 93
14 363 23
528 358 275
95 348 653
439 787 129
368 97 690
844 270 478
321 5 363
610 21 202
742 650 123
725 173 651
69 524 943
439 32 531
866 512 187
344 795 776
340 466 220
237 67 870
628 549 957
556 155 842
225 842 904
742 339 951
692 133 982
910 520 100
856 824 37
345 707 886
927 603 141
472 700 661
579 35 788
11 174 180
790 198 530
30 166 45
715 817 438
134 335 623
234 750 901
453 824 456
370 534 723
780 751 217
622 932 959
883 391 834
221 623 307
876 540 46
379 171 641
846 928 77
12 617 616
448 297 851
755 120 658
787 716 664
151 711 171
619 887 10
612 642 544
200 110 99
830 829 568
930 314 550
671 475 730
143 696 601
446 314 813
417 588 164
358 577 825
822 299 666
15 373 971
552 826 32
160 127 897
759 348 94
121 556 530
395 498 69
391 328 950
841 550 83
488 695 152
46 672 788
492 617 686
96 589 922
213 154 899
346 598 294
712 358 245
517 731 56
650 734 710
501 916 618
35 476 579
332 365 132
729 175 412
236 894 635
589 330 674
376 393 613
877 847 619
716 395 563
60 364 45
139 624 692
297 736 436
92 790 338
732 858 471
541 532 522
396 832 119
412 912 68
490 41 211
441 708 916
234 799 961
272 564 316
670 685 539
216 136 955
295 33 232
3 69 843
441 292 13
761 593 851
563 346 419
900 295 307
737 227 403
309 17 886
484 43 694
931 590 177
583 499 457
473 724 557
380 892 797
72 712 537
378 421 817
239 473 570
841 132 697
633 29 182
28 204 399
347 568 5
336 256 916
799 551 192
152 552 497
447 317 10
177 275 540
931 794 143
901 694 649
445 256 205
732 149 908
732 914 480
844 231 516
490 651 144
793 596 841
524 896 159
483 185 866
228 750 459
85 181 913
785 745 685
485 224 421
452 619 788
282 926 662
312 379 361
123 162 353
464 198 804
689 224 605
11 821 71
565 711 636
168 501 795
106 291 153
897 236 392
840 885 152
185 309 831
887 196 72
567 697 88
859 22 689
261 864 847
85 616 446
497 173 222
272 699 550
908 871 115
227 132 712
926 385 179
564 859 657
834 560 397
439 420 214
775 115 92
139 25 649
389 859 911
440 435 265
383 609 225
13 618 93
356 868 129
340 215 286
587 234 206
849 159 880
456 86 422
554 245 959
837 85 949
301 429 787
205 813 641
323 809 560
811 129 553
808 353 617
261 766 851
596 595 161
704 464 633
350 830 951
294 449 16
12 37 249
426 569 481
504 349 833
297 692 402
561 780 730
585 117 685
59 228 663
196 214 204
695 473 245
419 316 361
122 595 510
251 558 775
824 928 999
899 14 665
128 133 334
851 707 522
127 213 263
638 178 422
893 750 734
48 368 12
467 546 78
577 780 645
855 29 757
622 122 198
824 604 819
914 479 671
821 579 202
359 57 606
755 835 93
812 135 643
174 203 201
644 168 323
522 593 105
892 701 173
738 324 336
762 60 148
715 295 643
320 789 148
72 901 784
349 24 947
237 350 486
6 263 907
434 516 346
262 69 694
691 703 28
133 635 505
707 11 950
326 229 330
641 133 832
858 676 344
315 793 753
42 62 626
98 151 880
687 283 307
127 318 999
502 191 976
881 597 587
860 766 610
776 767 747
409 537 997
420 26 7
336 548 52
161 481 363
99 841 160
37 760 461
794 432 423
602 117 210
593 609 855
253 592 955
229 591 956
586 131 211
197 347 713
81 917 957
69 860 333
856 487 792
15 216 880
745 756 965
930 668 843
513 341 2
84 146 248
332 609 696
209 605 958
234 201 532
536 837 802
328 596 606
508 241 648
701 211 965
711 732 85
856 917 600
214 359 381
358 778 423
291 133 204
810 327 29
470 530 951
316 218 218
685 905 705
116 411 435
320 777 400
598 817 896
781 75 264
515 386 265
438 415 454
516 827 89
155 583 515
322 337 402
649 627 533
629 30 478
769 202 175
488 294 499
309 565 69
303 356 587
883 260 948
482 657 747
409 159 183
227 627 283
512 202 503
89 156 474
189 228 760
371 883 177
764 642 986
909 544 656
706 322 498
619 743 375
686 71 188
605 535 924
237 930 166
870 456 729
906 548 142
111 323 325
486 135 950
687 411 251
829 800 537
383 142 334
809 659 403
668 876 762
662 844 658
369 188 977
282 28 915
166 292 699
700 99 179
359 212 394
483 244 29
697 871 115
465 917 554
40 139 741
925 915 278
874 120 681
444 362 830
59 364 726
800 261 770
100 184 167
149 463 525
490 129 215
487 910 879
811 179 119
102 824 262
696 258 205
146 832 391
86 769 117
883 16 669
370 457 882
404 44 220
281 908 39
768 370 441
469 803 639
834 343 114
674 101 747
316 12 57
356 104 645
678 183 633
361 721 891
562 363 490
368 18 65
663 256 83
460 485 573
391 384 227
139 733 73
278 907 600
107 328 51
302 764 987
611 26 254
691 262 388
514 896 954
211 195 112
372 823 996
244 793 472
563 655 943
