876 999
88 286 -895
811 491 -798
812 660 774
662 809 -47
348 136 -795
566 772 -89
359 308 -936
456 378 -292
773 308 270
365 573 -832
161 301 831
839 385 -342
248 748 426
381 658 -125
721 698 -919
193 19 600
359 508 -629
311 117 -69
714 733 -394
813 796 712
792 394 454
479 103 247
412 136 -31
782 785 162
244 461 214
739 177 970
616 375 618
233 619 -147
391 665 231
381 628 232
464 362 174
397 612 187
724 250 997
9 295 -306
81 694 -459
146 753 766
521 65 437
296 353 -45
80 90 -482
87 148 -882
493 722 -756
589 362 803
234 789 -364
623 865 -826
175 584 -602
797 530 -305
718 679 -830
552 839 139
502 800 386
396 747 980
282 564 -536
34 850 -132
422 508 -517
434 821 -759
611 186 482
745 174 -911
826 832 -703
397 417 228
592 527 -411
608 694 -859
52 154 -325
677 34 -407
707 102 124
341 116 534
634 815 292
49 624 -539
456 278 250
152 608 -78
765 406 -335
390 714 -583
78 509 -176
617 86 424
92 755 419
70 866 589
798 480 545
475 329 -959
3 50 887
399 230 339
865 599 -845
95 800 619
814 676 -920
255 199 917
44 648 -888
495 712 286
40 669 -958
50 740 -763
393 667 436
575 354 55
667 120 -129
729 798 -335
783 237 -553
735 386 -907
378 842 90
843 405 -643
715 822 -157
483 293 -479
670 221 839
224 533 -141
741 74 665
388 432 464
75 655 301
151 198 -52
430 702 47
468 694 954
120 442 251
870 602 965
335 491 -7
450 485 -346
581 507 433
730 93 171
55 231 161
300 530 -965
456 843 -73
448 850 203
286 138 288
44 419 -901
684 341 948
652 142 994
194 105 -308
541 693 -8
88 306 605
137 222 355
852 40 571
123 748 212
98 458 -138
843 774 -577
408 738 27
752 426 -480
439 812 -307
336 758 -520
255 297 85
868 566 -444
664 817 689
787 808 -912
446 779 407
143 822 468
330 83 614
735 178 -673
445 665 -795
389 151 -264
119 412 -50
419 372 -303
259 754 -607
341 533 697
569 848 26
565 269 502
111 201 -570
334 567 15
602 812 -709
227 805 -540
532 662 -44
782 811 -556
514 393 -724
255 629 143
814 35 615
497 131 653
55 143 -599
302 229 926
566 6 -962
691 387 -269
73 685 -337
276 829 -145
509 835 357
840 510 -399
833 150 -561
367 259 -444
831 51 -886
102 427 502
196 204 -982
270 751 376
343 689 -464
11 224 225
329 563 -280
548 367 -497
807 449 702
31 696 -670
143 429 -325
311 737 696
461 407 -275
512 158 577
9 214 -241
565 363 553
644 34 -372
12 172 488
308 708 -677
609 280 552
348 844 -690
761 308 414
667 40 566
593 438 446
576 294 739
429 561 593
360 725 429
682 283 -826
837 97 72
399 598 326
183 546 -404
572 764 689
544 786 -777
271 61 -485
64 803 -190
738 538 536
213 216 87
289 330 -658
182 243 -124
276 120 967
448 263 -3
744 435 557
210 704 237
36 603 73
145 353 -404
682 812 -710
342 865 -613
131 26 274
793 137 269
826 284 834
199 303 -381
277 569 970
812 582 -105
755 739 484
873 614 749
148 463 274
123 445 917
587 737 746
528 151 204
178 18 114
15 228 343
680 209 862
220 546 185
474 552 -242
414 267 -919
600 342 298
600 560 -126
8 88 643
73 726 -33
161 600 -192
559 618 -936
401 640 386
554 552 338
333 344 -96
364 268 191
599 720 945
823 805 909
614 570 115
491 395 -46
128 66 883
651 179 312
850 868 -154
634 297 -584
29 772 -985
602 613 966
612 431 -511
686 121 -184
609 365 -629
614 236 -752
796 339 890
228 700 968
394 749 -431
385 400 35
569 665 233
304 152 33
95 35 -316
97 556 648
834 427 178
644 661 132
847 664 110
798 766 930
461 512 -546
209 86 -247
529 636 533
35 20 194
530 45 -177
269 321 -29
250 109 831
135 845 -893
566 218 -818
369 719 -568
783 361 -936
503 586 -856
770 92 -311
330 109 -11
798 530 -355
591 178 680
320 646 545
116 657 -270
391 456 238
393 820 494
808 800 -935
573 820 -745
117 830 246
332 661 -44
860 681 -553
28 542 -549
108 674 -266
32 283 -317
368 426 262
41 583 -524
706 93 34
393 334 329
333 713 -147
412 266 692
763 132 -383
564 674 865
772 530 -176
110 791 -573
167 536 886
680 570 -544
311 660 -288
536 727 441
634 405 -622
117 417 -687
463 511 466
171 5 -391
183 204 858
842 409 457
366 702 -665
127 284 -324
504 811 710
727 440 -978
419 176 -434
848 84 166
75 670 -940
85 644 96
637 180 954
868 526 749
826 5 593
557 834 -586
36 564 -441
662 93 901
841 740 784
387 254 -365
171 663 948
707 43 649
212 201 -864
204 314 553
596 517 -838
779 538 207
630 229 -694
222 10 -923
848 799 -634
297 487 356
649 484 287
395 654 -400
324 572 -294
793 426 597
863 304 -803
749 509 -19
383 609 -705
100 683 -629
348 136 431
757 29 -637
321 153 927
314 837 637
92 15 -108
647 668 516
591 465 -760
400 629 -162
563 473 887
784 649 263
26 419 504
5 521 -860
349 137 125
868 208 -635
111 770 -842
646 286 840
320 814 785
666 343 -289
114 373 29
693 93 -264
664 11 -560
184 380 324
515 27 -42
273 534 -838
600 751 -342
533 874 -157
74 203 -238
287 821 675
170 113 -192
264 730 490
94 441 780
799 1 -413
843 421 240
412 607 840
404 840 -325
216 503 -669
175 142 -126
578 221 781
426 629 -908
655 46 750
49 493 903
675 300 -402
251 231 -925
721 400 -394
118 236 -135
234 18 457
569 335 787
675 416 735
177 473 -662
402 782 -152
764 368 -178
115 390 790
542 96 622
843 271 760
706 284 -29
817 302 -506
398 313 -450
746 300 -658
520 316 632
397 568 908
5 677 720
625 418 -898
329 577 465
629 421 169
850 59 -365
316 697 708
390 805 -886
301 333 -755
685 197 -538
299 434 -190
159 245 964
380 40 579
409 807 -954
675 802 -978
256 31 869
206 805 -578
455 773 -145
248 242 311
95 222 638
636 304 -624
583 330 820
460 102 -864
499 500 -10
158 582 134
210 221 -786
17 852 557
170 747 -595
140 475 -999
293 396 182
347 651 133
275 227 -966
315 8 -846
234 356 536
304 77 -253
457 749 660
671 120 369
198 39 887
576 345 -251
790 370 187
10 635 -522
859 334 409
558 778 -625
615 617 -648
827 698 -676
397 150 -979
607 357 124
458 431 569
732 365 -190
132 723 -353
137 684 -582
810 114 -294
620 133 322
574 748 492
233 691 -759
776 79 102
715 388 240
366 119 -931
209 620 570
333 367 357
35 529 336
331 408 747
298 766 -322
194 8 -958
772 102 -60
571 185 172
695 823 -984
555 719 29
544 623 -679
18 714 -27
859 82 -351
510 89 -573
255 473 619
330 688 -469
138 655 402
510 541 719
700 50 753
420 434 -29
233 326 -343
337 306 -228
636 549 878
662 202 65
268 94 820
807 158 -517
137 867 -428
230 843 20
787 183 295
445 423 -524
676 401 -603
90 479 -713
565 724 -142
233 634 -239
757 520 -962
727 287 -890
171 716 919
498 299 -388
654 619 743
114 421 -994
387 204 729
695 509 -63
307 538 205
209 598 411
620 212 -606
838 188 -849
378 747 -108
814 86 -82
655 799 717
37 345 -291
778 120 -854
104 539 555
744 653 -58
505 611 -754
42 735 613
502 804 -151
