864 873
828 386 705
80 60 -320
536 511 -316
394 467 533
222 653 53
305 350 -151
668 245 714
269 778 314
682 227 -527
186 741 -421
387 855 -241
335 658 -754
151 737 -604
176 456 -604
576 807 -156
425 433 454
262 164 291
200 66 865
781 845 -793
59 23 953
279 381 512
192 241 221
602 457 850
491 703 342
477 17 286
134 780 339
749 567 -934
459 98 163
83 13 556
471 614 159
653 621 -949
535 683 -243
198 607 -677
813 842 770
740 427 787
332 221 564
797 406 -611
724 410 -530
46 450 847
594 697 268
335 165 376
199 55 42
39 418 -444
581 225 580
583 147 82
465 173 -285
817 236 379
3 38 -733
706 107 330
183 811 -426
12 571 830
825 848 559
577 10 396
643 523 520
667 132 758
210 683 -955
531 719 -859
620 318 12
732 448 -167
112 644 487
490 241 374
301 88 -14
293 624 -447
242 471 278
447 167 274
627 89 -449
529 699 -494
381 509 21
427 155 -874
257 728 -959
718 222 -70
600 745 839
786 184 -477
128 687 -506
540 106 152
136 445 -498
371 257 806
540 847 818
748 467 -871
411 7 947
519 254 -402
735 760 -700
745 339 -640
52 459 -744
680 694 339
666 709 -149
21 14 712
488 787 588
40 623 -371
98 687 246
495 741 720
81 767 -978
278 371 826
842 638 -265
553 468 705
282 610 -615
625 745 992
226 699 354
71 216 351
591 96 374
190 517 -193
386 704 -94
151 340 86
726 557 496
779 417 -241
845 97 658
73 510 810
553 299 686
6 820 893
472 233 950
411 252 481
321 109 -58
98 362 82
639 176 -192
270 437 900
682 764 224
355 742 886
362 562 916
695 192 201
498 320 142
34 89 624
577 829 97
614 149 524
794 154 -836
458 32 -551
290 34 -86
560 586 -256
840 376 -623
339 187 -533
398 441 -13
472 209 -651
524 457 488
505 449 715
280 440 952
632 23 -432
510 180 120
601 493 134
369 311 -471
658 862 -401
720 77 -896
637 283 645
31 114 -286
110 568 -830
166 266 317
208 623 662
73 565 345
118 178 -732
491 31 728
416 688 622
406 243 -33
661 433 529
36 330 -655
147 487 644
853 361 731
728 192 -57
821 764 -24
261 222 -927
187 21 -229
15 447 -658
556 162 568
770 579 464
305 457 603
274 482 390
612 564 587
258 522 -799
737 492 915
617 66 860
19 81 958
406 771 -768
27 736 771
272 63 -940
544 438 -717
661 197 -544
131 346 -571
74 184 -48
363 223 657
405 182 443
393 585 891
806 482 637
363 560 431
247 602 -477
159 481 237
532 552 285
574 780 560
554 322 353
474 639 -118
458 714 -780
624 400 525
528 355 -356
216 717 244
166 658 967
615 806 675
7 375 -226
359 156 -1
379 568 645
494 471 -201
217 73 -45
575 546 231
827 819 317
847 844 826
268 848 -439
626 248 -654
519 50 288
780 547 -677
681 344 739
528 261 886
102 105 916
341 78 -808
30 246 10
240 767 -31
151 109 -735
691 424 -636
325 709 -469
479 791 -266
825 26 560
52 609 155
150 125 -69
543 384 198
180 791 359
856 329 648
116 539 -663
604 586 -192
860 485 -389
247 124 -655
306 598 -316
554 62 -244
392 862 -534
9 607 570
804 511 -607
595 820 25
248 806 -894
135 389 -187
95 722 175
652 623 -718
714 227 829
324 180 433
371 355 -956
178 264 -493
308 473 929
402 394 -559
845 244 211
579 4 490
448 604 -890
442 527 178
706 185 -888
338 238 -80
155 744 -41
215 191 -86
235 632 306
656 314 840
600 374 149
82 42 438
515 16 796
312 546 608
848 842 222
545 584 -60
432 45 -156
226 90 -755
232 297 -311
368 343 343
499 139 777
287 12 -846
307 845 -566
428 313 873
341 17 -258
772 662 3
102 858 -913
553 532 513
259 780 -670
38 147 -931
6 493 -747
648 808 -538
452 272 440
756 749 -699
413 734 715
337 8 -741
252 72 486
514 582 -773
37 424 23
680 290 -368
214 344 146
476 855 -562
77 111 356
478 28 23
723 656 -704
825 427 -256
542 127 -163
778 410 477
505 305 67
14 337 -746
552 511 93
279 711 582
605 237 -633
316 369 360
496 572 -198
720 438 -845
303 599 -604
847 343 -336
829 585 13
448 337 -836
278 31 431
159 764 -710
671 629 -907
477 768 424
437 335 -383
151 41 948
755 355 -545
45 512 669
775 309 -701
669 224 796
88 139 -124
437 785 746
260 421 67
294 189 -640
286 182 567
638 256 -632
89 40 -966
698 293 622
413 19 -461
16 340 587
703 354 714
60 240 -910
851 745 934
540 319 394
198 624 852
442 53 -85
432 117 571
625 175 -249
184 739 910
244 519 -319
582 295 -115
397 563 16
290 257 974
207 525 205
389 718 -980
534 457 443
36 514 594
64 73 -770
662 843 643
61 340 -544
167 516 -306
258 692 509
666 66 -874
199 434 -68
635 181 -270
447 367 334
731 763 653
829 604 -353
356 221 967
527 831 -961
94 478 54
614 515 762
398 593 331
137 412 -336
614 791 952
156 40 -647
690 780 -499
32 243 990
232 272 -286
838 435 778
730 720 521
538 546 117
498 853 869
190 329 -132
120 443 125
227 253 -952
79 40 65
190 836 -86
835 611 -452
157 295 725
152 175 545
498 353 955
587 241 692
764 215 432
431 222 827
786 666 -101
821 831 -182
739 656 -396
858 439 -718
135 773 -23
92 712 -231
808 754 -208
277 629 -231
174 448 -692
573 349 -363
784 313 859
263 733 -906
814 500 -555
228 167 -379
511 252 -570
554 310 -582
512 73 496
343 266 -770
624 794 658
656 113 -594
408 790 606
692 306 399
89 308 -793
232 130 889
205 178 755
60 717 406
13 58 224
751 142 -918
493 110 735
340 369 -761
419 275 651
476 409 434
198 225 -638
221 696 -103
443 1 864
245 690 -470
167 202 186
706 671 -767
177 833 -681
226 94 -638
596 524 636
300 98 111
528 232 422
781 147 -763
542 289 403
136 402 -295
610 399 303
198 673 -497
279 792 726
287 108 -479
243 247 180
552 620 449
59 102 -967
15 833 -883
747 737 -590
445 50 413
11 704 -896
239 207 870
725 630 438
590 406 632
830 842 430
319 307 -107
383 167 -890
519 859 304
150 292 -287
439 488 -482
363 413 572
713 764 -90
393 455 1000
48 814 -598
295 87 661
509 745 -822
410 804 472
145 121 160
406 835 -740
391 642 723
735 579 -907
593 214 -555
263 132 -184
568 701 -983
303 547 -685
470 766 279
505 767 -61
282 31 -1
860 454 -268
112 49 597
94 385 12
573 786 240
420 149 177
228 644 -898
650 198 871
345 547 -288
840 10 107
645 824 413
703 11 -520
863 480 -446
90 507 -13
270 504 -481
690 561 -525
498 637 -919
609 77 277
534 372 -125
91 706 831
551 281 943
47 217 339
26 315 913
469 426 151
5 483 851
226 526 -212
579 692 11
851 185 374
146 651 -596
222 99 -397
320 204 958
128 586 -139
41 314 533
45 3 -795
491 600 844
43 8 42
260 673 540
316 347 -5
395 206 114
712 337 667
566 639 349
652 856 -563
585 519 -949
665 86 -165
426 551 -330
326 777 111
30 652 612
99 272 -418
34 574 602
617 264 987
570 673 502
447 511 -750
79 276 38
805 377 -759
296 21 -545
17 747 -250
66 861 60
284 233 812
476 487 844
199 786 -877
574 854 -169
762 832 -313
249 571 782
569 735 235
789 25 586
85 831 -280
604 263 -420
662 379 -995
615 591 931
178 720 -988
700 351 -494
237 320 464
813 471 596
763 129 -282
13 625 501
7 490 797
53 598 265
856 478 -70
620 333 321
533 147 -805
357 810 -413
573 165 -801
249 751 -455
34 449 -679
311 710 943
821 746 624
282 322 151
800 675 -384
254 287 -172
207 347 -834
746 394 -593
674 13 -357
400 703 563
819 164 743
767 295 -743
375 218 -150
726 310 584
51 62 -492
97 479 50
77 251 -592
145 397 691
96 553 125
705 166 -853
515 181 -894
450 761 274
726 421 -498
219 14 -861
812 658 -463
437 338 -889
166 851 162
430 56 -486
106 165 -784
791 780 135
178 220 -364
114 586 400
41 12 366
593 765 -998
640 210 175
388 166 -406
389 106 -555
367 420 -754
254 579 -651
850 400 465
380 77 982
102 216 -11
759 723 863
485 308 -338
743 51 78
190 139 910
379 359 438
856 103 879
732 711 637
469 590 420
295 653 -972
568 615 -343
28 488 741
426 620 772
318 307 724
789 7 143
429 751 232
843 803 615
396 449 120
4 62 908
508 62 -947
612 370 662
837 746 646
600 242 -6
176 546 -205
295 642 -722
183 826 67
162 771 64
766 837 405
195 525 -927
452 603 -975
309 35 885
601 237 233
8 11 -34
448 623 529
836 409 677
640 178 -680
89 513 -871
46 28 -325
269 674 257
775 607 -11
538 712 806
717 834 866
761 854 -594
19 595 161
503 817 444
14 444 840
686 624 114
837 259 701
383 107 -108
556 163 257
470 72 -753
485 250 -631
91 178 -698
141 765 715
658 409 699
572 217 -960
710 15 -263
646 534 306
78 184 232
21 55 337
711 763 927
345 816 -764
